source,topic,decay_rate,half_life_days,r2,n_obs,avg_tone,first_date,year,tone_category
abc,"WB_621_HEALTH_NUTRITION_AND_POPULATION,906",8.546548833042666e-07,811025.8235231744,4.42646042542183e-05,8,,2016-05-21 10:15:00,2016,unknown
abc,"WB_635_PUBLIC_HEALTH,236",0.0008452449127361999,820.0548386811479,0.33328029396712167,9,,2020-03-18 08:00:00,2020,unknown
abc,"WB_635_PUBLIC_HEALTH,27",7.384959923513032e-35,9.385930157224395e+33,0.0,25,,2020-03-16 06:15:00,2020,unknown
abc,"WB_635_PUBLIC_HEALTH,86",0.000760405495514374,911.5494096884031,0.02531777453636197,5,,2020-03-20 02:15:00,2020,unknown
abc,"WB_696_PUBLIC_SECTOR_MANAGEMENT,1043",9.146367906714744e-05,7578.387263987883,0.5482371591725685,9,,2016-05-23 20:15:00,2016,unknown
abc,"WB_696_PUBLIC_SECTOR_MANAGEMENT,111",3.620260592529286e-05,19146.333885199125,0.11413380103195458,8,,2016-03-10 20:15:00,2016,unknown
abc,"WB_696_PUBLIC_SECTOR_MANAGEMENT,118",1.5176746251664303e-05,45671.65906749833,0.02025455865672421,9,,2016-04-26 16:15:00,2016,unknown
abc,"WB_696_PUBLIC_SECTOR_MANAGEMENT,1388",6.401095026998715e-05,10828.571949586281,0.3492291211608298,9,,2016-07-06 16:45:00,2016,unknown
abc,"WB_696_PUBLIC_SECTOR_MANAGEMENT,1485",6.625606424060953e-05,10461.641338108684,0.14979026392004635,10,,2020-03-06 07:15:00,2020,unknown
abc,"WB_696_PUBLIC_SECTOR_MANAGEMENT,1657",8.270689936114571e-05,8380.76612609146,0.2706818743647903,6,,2016-08-05 01:45:00,2016,unknown
abc,"WB_696_PUBLIC_SECTOR_MANAGEMENT,2013",7.516350887082127e-05,9221.857667012502,0.0964882195407698,5,,2020-02-03 16:30:00,2020,unknown
abc,"WB_696_PUBLIC_SECTOR_MANAGEMENT,25",3.473050164517714e-05,19957.879895932896,0.15815301660434733,9,,2016-02-25 10:45:00,2016,unknown
abc,"WB_696_PUBLIC_SECTOR_MANAGEMENT,2563",5.920556443415819e-05,11707.466809657495,0.09211358219735655,7,,2020-03-10 18:45:00,2020,unknown
abc,"WB_696_PUBLIC_SECTOR_MANAGEMENT,284",0.00013375063289425995,5182.384303990029,0.3990872970177708,7,,2016-06-07 13:30:00,2016,unknown
abc,"WB_696_PUBLIC_SECTOR_MANAGEMENT,356",3.839460317330021e-05,18053.24507278573,0.1484119357009145,11,,2016-05-23 20:15:00,2016,unknown
abc,"WB_696_PUBLIC_SECTOR_MANAGEMENT,358",3.6492210143456465e-05,18994.387509966582,0.12988249718697586,9,,2016-04-27 01:00:00,2016,unknown
abc,"WB_696_PUBLIC_SECTOR_MANAGEMENT,364",5.937654001592754e-05,11673.754994380122,0.3045670896352016,11,,2016-06-29 16:00:00,2016,unknown
abc,"WB_696_PUBLIC_SECTOR_MANAGEMENT,411",3.2313125728849474e-08,21450948.025776926,1.0867360034083617e-07,12,,2016-02-17 17:45:00,2016,unknown
abc,"WB_696_PUBLIC_SECTOR_MANAGEMENT,415",3.475015871953731e-05,19946.59034953537,0.13047072090667622,10,,2016-03-10 17:15:00,2016,unknown
abc,"WB_696_PUBLIC_SECTOR_MANAGEMENT,666",1.3689714857385378e-05,50632.69672019529,0.01556192533834544,13,,2016-04-27 01:00:00,2016,unknown
abc,"WB_696_PUBLIC_SECTOR_MANAGEMENT,683",0.00011166980515028655,6207.113728076265,0.6234630708137889,5,,2016-05-23 20:15:00,2016,unknown
abc,"WB_696_PUBLIC_SECTOR_MANAGEMENT,711",0.0001407048448813968,4926.249562651622,0.39005143102103923,5,,2016-06-02 00:45:00,2016,unknown
abc,"WB_696_PUBLIC_SECTOR_MANAGEMENT,799",3.515726797981762e-05,19715.615586451524,0.1479640998700159,12,,2016-02-08 21:00:00,2016,unknown
abc,"WB_696_PUBLIC_SECTOR_MANAGEMENT,984",5.1851409598940535e-05,13367.952499677234,0.19282674826391433,8,,2016-05-23 20:15:00,2016,unknown
abc,"WB_698_TRADE,1464",3.8203621144915894e-06,181434.9424968551,0.00048759741706816406,5,,2016-11-02 12:45:00,2016,unknown
abc,"WB_698_TRADE,43",5.4137042853429345e-36,1.2803565618398706e+35,0.0,44,,2016-01-13 22:00:00,2016,unknown
abc,"WB_831_GOVERNANCE,1485",0.00010230825904775323,6775.085286481251,0.1352957070889833,6,,2020-03-06 07:15:00,2020,unknown
abc,"WB_831_GOVERNANCE,364",8.696628856479705e-05,7970.297364633349,0.3269291554170667,5,,2016-06-29 16:00:00,2016,unknown
abc,"WB_832_ANTI_CORRUPTION,1485",0.00010230825904775323,6775.085286481251,0.1352957070889833,6,,2020-03-06 07:15:00,2020,unknown
abc,"WB_832_ANTI_CORRUPTION,364",8.696628856479705e-05,7970.297364633349,0.3269291554170667,5,,2016-06-29 16:00:00,2016,unknown
abc,"WB_840_JUSTICE,118",2.328214542601034e-05,29771.619748821573,0.02581640780972405,6,,2016-04-26 16:15:00,2016,unknown
abc,"WB_840_JUSTICE,1388",0.00011920225355981858,5814.883191047284,0.7667819289934561,6,,2016-07-06 16:45:00,2016,unknown
abc,"WB_840_JUSTICE,1485",8.445815456470925e-05,8206.989415437405,0.20941904851364634,9,,2020-03-06 07:15:00,2020,unknown
abc,"WB_840_JUSTICE,358",5.0379707546799565e-05,13758.459790900044,0.18409124042660197,6,,2016-06-12 18:15:00,2016,unknown
abc,"WB_840_JUSTICE,364",0.00010740204718161332,6453.761345794985,0.6223762415349428,6,,2016-06-29 16:00:00,2016,unknown
abc,"WB_840_JUSTICE,415",4.4257683804275823e-05,15661.623496279282,0.19037821390126297,8,,2016-03-10 17:15:00,2016,unknown
abc,"WB_840_JUSTICE,512",3.865354073021201e-05,17932.307557485266,0.09759548116776084,9,,2016-06-02 00:45:00,2016,unknown
abc,"WB_840_JUSTICE,661",3.61954261033501e-05,19150.131803415636,0.17930065280937968,12,,2016-05-31 19:00:00,2016,unknown
abc,"WB_840_JUSTICE,799",6.039601405454847e-05,11476.704074111723,0.29098339436913134,9,,2016-02-08 21:00:00,2016,unknown
abc,"WOUND,135",3.144689191433079e-05,22041.83429154944,0.060701731368338896,7,,2016-03-13 06:30:00,2016,unknown
abc,"WOUND,154",5.1064309688252626e-05,13574.00471663292,0.149134049218956,7,,2016-01-01 18:45:00,2016,unknown
fox,"CRISISLEX_C03_WELLBEING_HEALTH,1183",9.861842057311764e-05,7028.577181947791,0.6144784662197362,6,,2016-02-03 14:00:00,2016,unknown
fox,"CRISISLEX_C04_LOGISTICS_TRANSPORT,170",0.00010430220103660685,6645.5661881638725,0.05177330280167036,125,,2020-11-25 21:30:00,2020,unknown
